date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:05:31	2689/2689	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2007:05:30%20GMT	https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/?C=N;O=D	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/indexc052.html	(from https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/)
14:05:31	2689/2689	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2007:05:30%20GMT	https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/?C=M;O=A	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/indexf8a0.html	(from https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/)
14:05:31	2689/2689	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2007:05:30%20GMT	https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/?C=S;O=A	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/indexbfec.html	(from https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/)
14:05:31	55296/55296	---M--	200	added ('OK')	application/javascript	date:Fri,%2008%20Jul%202022%2003:18:14%20GMT	https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/admin-1deea871.js	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/admin-1deea871.js	(from https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/)
14:05:31	2689/2689	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2007:05:30%20GMT	https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/?C=D;O=A	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/index30b5.html	(from https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/)
14:05:31	130697/130697	---M--	200	added ('OK')	application/javascript	date:Fri,%2008%20Jul%202022%2003:18:14%20GMT	https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/admin-1deea871.js.map	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/admin-1deea871.js.map	(from https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/)
14:05:32	8906/8906	---M--	200	added ('OK')	text/css	date:Fri,%2008%20Jul%202022%2003:18:14%20GMT	https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/admin-7f8d2917.css	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/admin-7f8d2917.css	(from https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/)
14:05:32	13560/13560	---M--	200	added ('OK')	text/css	date:Fri,%2008%20Jul%202022%2003:18:14%20GMT	https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/admin-7f8d2917.css.map	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/admin-7f8d2917.css.css	(from https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/)
14:05:32	116/116	---M--	200	added ('OK')	application/json	date:Fri,%2008%20Jul%202022%2003:18:14%20GMT	https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/admin.dependencies.wp.json	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/admin.dependencies.wp.json	(from https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/)
14:05:32	1082/1082	---M--	200	added ('OK')	application/json	date:Fri,%2008%20Jul%202022%2003:18:14%20GMT	https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/manifest.json	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/manifest.json	(from https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/)
14:05:32	1932/1932	---M--	200	added ('OK')	application/javascript	date:Fri,%2008%20Jul%202022%2003:18:14%20GMT	https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/runtime-42c36a43.js	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/runtime-42c36a43.js	(from https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/)
14:05:33	8327/8327	---M--	200	added ('OK')	application/javascript	date:Fri,%2008%20Jul%202022%2003:18:14%20GMT	https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/runtime-42c36a43.js.map	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/runtime-42c36a43.js.map	(from https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/)
14:05:33	608762/608762	---M--	200	added ('OK')	application/javascript	date:Fri,%2008%20Jul%202022%2003:18:14%20GMT	https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/vendors--presto-player--admin-fc89ef13.js	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/vendors--presto-player--admin-fc89ef13.js	(from https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/)
